,artist
317,The Weeknd & Kendrick Lamar
318,"Tiesto, Dzeko, Preme & Post Malone"
319,Tom Walker
320,Tory Lanez
321,Tove Lo
322,Tove Lo & Hippie Sabotage
323,Travi$ Scott
324,Trey Songz
325,Twenty One Pilots
326,Tyga & Offset
327,Usher
328,Vance Joy
329,Walk the Moon
330,Wiz Khalifa & Charlie Puth
331,X Ambassadors
332,XXXTentacion
333,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
334,Years & Years
335,Yo Gotti & Nicki Minaj
336,Zara Larsson
337,Zara Larsson & MNEK
338,Zayn
339,Zayn & Sia
340,Zayn & Taylor Swift
341,Zedd & Alessia Cara
342,Zedd & Selena Gomez
343,"Zedd, Maren Morris & Grey"
